,Seq,Action,Status,ActionDateTime,Data,Tag,MediaId,UserId,Username,FullName,FriendShipStatus
0,1,Follow,1,,,beautifulwomen,2324044638259595990,2370679583,ulanosek,Ula,False
1,1,Comment,1,,,womenfashion,2321246735889005457,5875708894,sisa_tarnow,Sylwia_tarnow 🇵🇱,False
2,1,UnFollow,1,,,delete_not_found,,,scootsandroots,,
3,1,Like,1,,,womenfashion,2321406870159837003,33260340921,vidaofana,𝒜𝓃𝒶,False
4,2,Like,1,,,beautifulwomen,2322929497722521693,4831308970,dyovanaacarvalhoo,Só da dyovana,False
5,3,Like,1,,,instagood,2324331624106664776,30277096260,chrysappdl,,False
6,2,UnFollow,1,,,mariagonzalez098765,,36124628666,mariagonzalez098765,Mariagonzalez,
7,1,StoryView,1,,,StoryView kristelbellolio,"['2324013662368821185_16230818211_16230818211', '2324019843740814656_16230818211_16230818211', '2324019973051217275_16230818211_16230818211', '2324020102143487573_16230818211_16230818211', '2324020218007036684_16230818211_16230818211', '2324020323510427614_16230818211_16230818211', '2324187656157955366_16230818211_16230818211']",16230818211,kristelbellolio,⚜️Kristel Bellolio⚜️,"['1591264034_1591304545', '1591264774_1591304545', '1591264788_1591304545', '1591264803_1591304545', '1591264817_1591304545', '1591264830_1591304545', '1591284777_1591304545']"
8,3,UnFollow,1,,,chawlar530,,35074414929,chawlar530,Rakesh Chawla,
9,4,Like,1,,,instagood,2324326338101409666,205455597,robertarigoleto,Roberta Rigoleto,False
10,2,StoryView,1,,,StoryView 2algerianstravel,"['2323661015865919666_5604207939_5604207939', '2323661042567003448_5604207939_5604207939', '2323661579504855385_5604207939_5604207939', '2323661854072501149_5604207939_5604207939', '2323666039878860700_5604207939_5604207939', '2323666686439181590_5604207939_5604207939', '2323666650812886965_5604207939_5604207939', '2323668853912890929_5604207939_5604207939', '2323670280236255967_5604207939_5604207939', '2323671046678345931_5604207939_5604207939', '2323671241000459663_5604207939_5604207939', '2323674646355764658_5604207939_5604207939', '2323676260768652707_5604207939_5604207939', '2323677058642489712_5604207939_5604207939', '2324176390810639067_5604207939_5604207939', '2324176435186298913_5604207939_5604207939', '2324176423870244652_5604207939_5604207939', '2324176450705369165_5604207939_5604207939', '2324176480862452338_5604207939_5604207939', '2324180574536680493_5604207939_5604207939', '2324180622653688234_5604207939_5604207939', '2324180623249264046_5604207939_5604207939', '2324182531892510314_5604207939_5604207939', '2324182640013159761_5604207939_5604207939', '2324182706383996804_5604207939_5604207939', '2324182707239618029_5604207939_5604207939', '2324183309189246367_5604207939_5604207939', '2324183798421224432_5604207939_5604207939', '2324199966792093880_5604207939_5604207939', '2324212605312097601_5604207939_5604207939']",5604207939,2algerianstravel,Amina & Mohamed🐾TRAVEL COUPLE,"['1591221995_1591304560', '1591221996_1591304560', '1591222064_1591304560', '1591222097_1591304560', '1591222596_1591304560', '1591222666_1591304560', '1591222667_1591304560', '1591222932_1591304560', '1591223094_1591304560', '1591223193_1591304560', '1591223217_1591304560', '1591223622_1591304560', '1591223814_1591304560', '1591223912_1591304560', '1591283430_1591304560', '1591283431_1591304560', '1591283432_1591304560', '1591283433_1591304560', '1591283434_1591304560', '1591283930_1591304560', '1591283931_1591304560', '1591283932_1591304560', '1591284160_1591304560', '1591284161_1591304560', '1591284162_1591304560', '1591284163_1591304560', '1591284259_1591304560', '1591284317_1591304560', '1591286246_1591304560', '1591287753_1591304560']"
